Date,Total/day,COVID/day,FLU-A/day,FLU-B/day,%COVID,%FLUA,%FLUB
9/1/2020,1,0,,,0.00,0.00,0.00
9/2/2020,6,0,,,0.00,0.00,0.00
9/3/2020,7,0,,,0.00,0.00,0.00
9/4/2020,9,0,,,0.00,0.00,0.00
9/5/2020,2,0,,,0.00,0.00,0.00
9/6/2020,15,1,,,6.67,0.00,0.00
9/7/2020,23,0,,,0.00,0.00,0.00
9/8/2020,21,2,,,9.52,0.00,0.00
9/9/2020,6,0,,,0.00,0.00,0.00
9/10/2020,25,1,,,4.00,0.00,0.00
9/11/2020,16,1,,,6.25,0.00,0.00
9/12/2020,11,0,,,0.00,0.00,0.00
9/13/2020,14,0,,,0.00,0.00,0.00
9/14/2020,15,0,,,0.00,0.00,0.00
9/15/2020,18,0,,,0.00,0.00,0.00
9/16/2020,26,0,,,0.00,0.00,0.00
9/17/2020,20,1,,,5.00,0.00,0.00
9/18/2020,34,0,,,0.00,0.00,0.00
9/19/2020,12,0,,,0.00,0.00,0.00
9/20/2020,9,0,,,0.00,0.00,0.00
9/21/2020,21,0,,,0.00,0.00,0.00
9/22/2020,11,0,,,0.00,0.00,0.00
9/23/2020,18,0,,,0.00,0.00,0.00
9/24/2020,34,0,,,0.00,0.00,0.00
9/25/2020,27,1,,,3.70,0.00,0.00
9/26/2020,10,0,,,0.00,0.00,0.00
9/27/2020,20,0,,,0.00,0.00,0.00
9/28/2020,26,2,,,7.69,0.00,0.00
9/29/2020,29,1,,,3.45,0.00,0.00
9/30/2020,18,0,,,0.00,0.00,0.00
10/1/2020,28,0,,,0.00,0.00,0.00
10/2/2020,24,0,,,0.00,0.00,0.00
10/3/2020,13,0,,,0.00,0.00,0.00
10/4/2020,28,0,,,0.00,0.00,0.00
10/5/2020,40,1,,,2.50,0.00,0.00
10/6/2020,21,0,,,0.00,0.00,0.00
10/7/2020,29,1,,,3.45,0.00,0.00
10/8/2020,21,0,,,0.00,0.00,0.00
10/9/2020,21,0,,,0.00,0.00,0.00
10/10/2020,18,0,,,0.00,0.00,0.00
10/11/2020,24,0,,,0.00,0.00,0.00
10/12/2020,16,0,,,0.00,0.00,0.00
10/13/2020,16,0,,,0.00,0.00,0.00
10/14/2020,21,0,,,0.00,0.00,0.00
10/15/2020,17,0,,,0.00,0.00,0.00
10/16/2020,13,0,,,0.00,0.00,0.00
10/17/2020,5,0,,,0.00,0.00,0.00
10/18/2020,12,0,,,0.00,0.00,0.00
10/19/2020,42,1,,,2.38,0.00,0.00
10/20/2020,17,0,,,0.00,0.00,0.00
10/21/2020,12,0,,,0.00,0.00,0.00
10/22/2020,27,0,,,0.00,0.00,0.00
10/23/2020,21,0,,,0.00,0.00,0.00
10/24/2020,5,0,,,0.00,0.00,0.00
10/25/2020,9,0,,,0.00,0.00,0.00
10/26/2020,16,1,,,6.25,0.00,0.00
10/27/2020,17,0,,,0.00,0.00,0.00
10/28/2020,12,0,,,0.00,0.00,0.00
10/29/2020,15,0,,,0.00,0.00,0.00
10/30/2020,20,0,,,0.00,0.00,0.00
10/31/2020,16,0,,,0.00,0.00,0.00
11/1/2020,16,0,,,0.00,0.00,0.00
11/2/2020,2,1,,,50.00,0.00,0.00
11/3/2020,17,0,,,0.00,0.00,0.00
11/4/2020,33,1,,,3.03,0.00,0.00
11/5/2020,33,3,,,9.09,0.00,0.00
11/6/2020,36,2,,,5.56,0.00,0.00
11/7/2020,32,1,,,3.13,0.00,0.00
11/8/2020,34,0,,,0.00,0.00,0.00
11/9/2020,37,0,,,0.00,0.00,0.00
11/10/2020,31,3,,,9.68,0.00,0.00
11/11/2020,40,0,,,0.00,0.00,0.00
11/12/2020,57,3,,,5.26,0.00,0.00
11/13/2020,29,2,,,6.90,0.00,0.00
11/14/2020,68,3,,,4.41,0.00,0.00
11/15/2020,53,1,,,1.89,0.00,0.00
11/16/2020,49,2,,,4.08,0.00,0.00
11/17/2020,86,1,,,1.16,0.00,0.00
11/18/2020,77,8,,,10.39,0.00,0.00
11/19/2020,70,3,,,4.29,0.00,0.00
11/20/2020,90,3,,,3.33,0.00,0.00
11/21/2020,72,2,,,2.78,0.00,0.00
11/22/2020,76,1,,,1.32,0.00,0.00
11/23/2020,49,2,,,4.08,0.00,0.00
